feeds/retrieveEntry	feeds_community_topic_retrieve_resource_normal	GET	/feeds/:model/:id
feeds/insertEntry	feeds_community_topic_insert_resource_normal	POST	/feeds/:model/:parent_model/:parent_id
feeds/insertEntry	feeds_community_topic_insert_resource_category	POST	/feeds/:model/:parent_model/:parent_id/-/*
feeds/updateEntry	feeds_community_topic_update_resource_normal	PUT	/feeds/:model/:id
feeds/deleteEntry	feeds_community_topic_delete_resource_normal	DELETE	/feeds/:model/:id
feeds/feedEntries	feeds_community_topic_comment_retrieve_feed_normal	GET	/feeds/:model/:parent_model/:parent_id
feeds/feedEntries	feeds_community_topic_comment_retrieve_feed_category	GET	/feeds/:model/:parent_model/:parent_id/-/*
feeds/retrieveEntry	feeds_community_topic_comment_retrieve_resource_normal	GET	/feeds/:model/:id
feeds/insertEntry	feeds_community_topic_comment_insert_resource_normal	POST	/feeds/:model/:parent_model/:parent_id
feeds/insertEntry	feeds_community_topic_comment_insert_resource_category	POST	/feeds/:model/:parent_model/:parent_id/-/*
feeds/deleteEntry	feeds_community_topic_comment_delete_resource_normal	DELETE	/feeds/:model/:id
feeds/feedEntries	feeds_community_event_retrieve_feed_normal	GET	/feeds/:model/:parent_model/:parent_id
feeds/feedEntries	feeds_community_event_retrieve_feed_category	GET	/feeds/:model/:parent_model/:parent_id/-/*
feeds/retrieveEntry	feeds_community_event_retrieve_resource_normal	GET	/feeds/:model/:id
feeds/insertEntry	feeds_community_event_insert_resource_normal	POST	/feeds/:model/:parent_model/:parent_id
feeds/insertEntry	feeds_community_event_insert_resource_category	POST	/feeds/:model/:parent_model/:parent_id/-/*
feeds/updateEntry	feeds_community_event_update_resource_normal	PUT	/feeds/:model/:id
feeds/deleteEntry	feeds_community_event_delete_resource_normal	DELETE	/feeds/:model/:id
feeds/feedEntries	feeds_community_event_comment_retrieve_feed_normal	GET	/feeds/:model/:parent_model/:parent_id
feeds/feedEntries	feeds_community_event_comment_retrieve_feed_category	GET	/feeds/:model/:parent_model/:parent_id/-/*
feeds/retrieveEntry	feeds_community_event_comment_retrieve_resource_normal	GET	/feeds/:model/:id
feeds/insertEntry	feeds_community_event_comment_insert_resource_normal	POST	/feeds/:model/:parent_model/:parent_id
feeds/insertEntry	feeds_community_event_comment_insert_resource_category	POST	/feeds/:model/:parent_model/:parent_id/-/*
feeds/deleteEntry	feeds_community_event_comment_delete_resource_normal	DELETE	/feeds/:model/:id
member/home	homepage	ANY	/
member/profile	obj_member_profile	GET	/member/:id
member/profile	member_profile_mine	ANY	/member/profile
friend/unlink	obj_friend_unlink	GET, POST	/friend/unlink/:id
member/home	member_index	ANY	/member
member/login	login	ANY	/member/login/*
default/error	error	ANY	/default/error
default/search	global_search	ANY	/search
member/changeLanguage	global_changeLanguage	ANY	/language
default/privacyPolicy	global_privacy_policy	ANY	/privacyPolicy
default/userAgreement	global_user_agreement	ANY	/userAgreement
member/configImage	member_config_image	ANY	/member/image/config
member/config	member_config	ANY	/member/config
member/delete	member_delete	ANY	/leave
member/invite	member_invite	ANY	/invite
member/search	member_search	ANY	/member/search
member/editProfile	member_editProfile	ANY	/member/edit/profile
member/logout	member_logout	ANY	/logout
friend/showImage	friend_show_image	ANY	/friend/showImage/:id
friend/list	friend_list	ANY	/friend/list
friend/manage	friend_manage	ANY	/friend/manage
community/joinlist	community_joinlist	ANY	/community/joinList
community/search	community_search	ANY	/community/search
community/edit	community_edit	ANY	/community/edit
community/delete	community_delete	ANY	/community/delete/:id
community/deleteImage	community_deleteImage	ANY	/community/deleteImage
community/memberList	community_memberList	ANY	/community/member/list
community/memberManage	community_memberManage	ANY	/community/member/manage/:id
community/join	community_join	ANY	/community/join/:id
community/quit	community_quit	ANY	/community/quit/:id
OpenID/idpXrds	openid_idpxrds	ANY	/OpenID/idpXrds
OpenID/list	openid_list	ANY	/OpenID/list
oauth/requestToken	oauth_request_token	ANY	/oauth/request_token
oauth/authorizeToken	oauth_authorize_token	ANY	/oauth/authorize
oauth/accessToken	oauth_access_token	ANY	/oauth/access_token
connection/show	connection_show	GET	/connection/:id
connection/new	connection_new	GET	/connection/new
connection/create	connection_create	POST	/connection
connection/edit	connection_edit	GET	/connection/:id/edit
connection/update	connection_update	PUT, POST	/connection/:id
connection/deleteConfirm	connection_deleteConfirm	GET	/connection/:id/delete
connection/delete	connection_delete	POST, DELETE	/connection/:id/delete
connection/list	connection_list	ANY	/connection
connection/revokeTokenConfirm	connection_revoke_token_confirm	GET	/connection/revoke/:id
connection/revokeToken	connection_revoke_token	POST	/connection/revoke/:id
confirmation/list	confirmation_list	ANY	/confirmation
confirmation/decision	confirmation_decision	POST	/confirmation/:category/:id
default/customizingCss	customizing_css	ANY	/cache/css/customizing.:sf_format
member/profile	member_profile	ANY	/member/:id
community/home	community_home	ANY	/community/:id
default/privacyPolicy	privacy_policy	ANY	/default/privacyPolicy
default/userAgreement	user_agreement	ANY	/default/userAgreement
googlemaps/index	google_maps	ANY	/googlemaps
blog/index	blog_index	ANY	/blog
blog/user	blog_user	ANY	/blog/user
blog/user	blog_user_profile	GET, HEAD	/blog/user/:id
blog/friend	blog_friend	ANY	/blog/friend
default/error	blog_nodefaults	ANY	/blog/*
communityTopicComment/delete	communityTopic_comment_delete	POST	/communityTopic/comment/delete/:id
communityTopicComment/deleteConfirm	communityTopic_comment_delete_confirm	GET, HEAD	/communityTopic/comment/deleteConfirm/:id
communityTopic/complete	communityTopic_complete	GET, HEAD	/communityTopic/complete/:id
communityTopicComment/create	communityTopic_comment_create	POST	/communityTopic/:id/comment/create
communityTopic/delete	communityTopic_delete	POST	/communityTopic/delete/:id
communityTopic/deleteConfirm	communityTopic_delete_confirm	GET, HEAD	/communityTopic/deleteConfirm/:id
communityTopic/update	communityTopic_update	POST	/communityTopic/update/:id
communityTopic/edit	communityTopic_edit	GET, HEAD	/communityTopic/edit/:id
communityTopic/create	communityTopic_create	POST	/communityTopic/create/:id
communityTopic/new	communityTopic_new	GET, HEAD	/communityTopic/new/:id
communityTopic/show	communityTopic_show	GET, HEAD	/communityTopic/:id
communityTopic/listCommunity	communityTopic_list_community	GET, HEAD	/communityTopic/listCommunity/:id
communityEventComment/delete	communityEvent_comment_delete	POST	/communityEvent/comment/delete/:id
communityEventComment/deleteConfirm	communityEvent_comment_delete_confirm	GET, HEAD	/communityEvent/comment/deleteConfirm/:id
communityEvent/complete	communityEvent_complete	GET, HEAD	/communityEvent/complete/:id
communityEventComment/create	communityEvent_comment_create	POST	/communityEvent/:id/comment/create
communityEvent/delete	communityEvent_delete	POST	/communityEvent/delete/:id
communityEvent/deleteConfirm	communityEvent_delete_confirm	GET, HEAD	/communityEvent/deleteConfirm/:id
communityEvent/update	communityEvent_update	POST	/communityEvent/update/:id
communityEvent/edit	communityEvent_edit	GET, HEAD	/communityEvent/edit/:id
communityEvent/create	communityEvent_create	POST	/communityEvent/create/:id
